Names_mpio,Names_depto,URL_mpio,URL_depto,Porc_escrutado,Num_mesas,Total_mesas,Votacion,Num_Votos,Num_Personas_Habilitadas,Porc_SI,Votos_SI,Porc_NO,Votos_NO,Votos_Válidos,Votos_no_marcados,Votos_nulos,Porc_Mesas_Inscritas,Porc_Abstensionismo
CALDAS,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01070ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,129.0,129.0,42.85,25961.0,60580.0,36.52,9292.0,63.47,16149.0,25441.0,123.0,397.0,1.0,0.5714592274678112
CAMPAMENTO,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01073ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,15.0,15.0,20.37,1296.0,6360.0,50.61,619.0,49.38,604.0,1223.0,32.0,41.0,1.0,0.7962264150943397
CAÑASGORDAS,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01076ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,33.0,33.0,36.44,4884.0,13402.0,41.09,1911.0,58.9,2739.0,4650.0,113.0,121.0,1.0,0.6355767795851366
CARACOLI,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01078ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,14.0,14.0,24.69,1199.0,4856.0,49.35,578.0,50.64,593.0,1171.0,16.0,12.0,1.0,0.7530889621087314
CARAMANTA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01079ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,14.0,14.0,27.08,1417.0,5231.0,41.82,568.0,58.17,790.0,1358.0,33.0,26.0,1.0,0.7291148919900592
CAREPA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01080ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,98.0,98.0,28.29,11733.0,41461.0,46.79,5327.0,53.2,6057.0,11384.0,159.0,190.0,1.0,0.7170111671209087
CARMEN DE VIBORAL,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01082ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,80.0,80.0,50.65,16750.0,33070.0,33.88,5528.0,66.11,10787.0,16315.0,163.0,272.0,1.0,0.49349863925007564
CAROLINA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01085ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,11.0,11.0,28.17,1150.0,4081.0,41.99,464.0,58.0,641.0,1105.0,22.0,23.0,1.0,0.7182063219799069
CAUCASIA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01088ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,162.0,162.0,31.61,20911.0,66133.0,43.36,8801.0,56.63,11495.0,20296.0,247.0,368.0,1.0,0.6838038498177914
CHIGORODO,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01106ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,89.0,89.0,27.66,12392.0,44791.0,52.39,6322.0,47.6,5745.0,12067.0,138.0,187.0,1.0,0.7233372775780849
