PAÍS,TIPO,URL PAÍS,URL CONSULADO,PORCENTAJE ESCRUTADO,NÚMERO DE MESAS INSTALADAS,TOTAL MESAS,PORCENTAJE VOTACIÓN,NÚMERO DE VOTOS,NÚMERO PERSONAS HÁBILES PARA VOTAR,PORCENTAJE SÍ,VOTOS SÍ,PORCENTAJE NO,VOTOS NO,VOTOS VÁLIDOS,VOTOS NO MARCADOS,VOTOS NULOS,PORCENTAJE MESAS INSCRITAS,PORCENTAJE ABSTENCIONISMO
IRLANDA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88470ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,1,1,53.84,49,91,67.34,33,32.65,16,49,0,0,1,0.4615384615
ISRAEL,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88490ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,3,3,8.01,62,774,63.93,39,36.06,22,61,0,1,1,0.9198966408
ITALIA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88495ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,14,14,8.22,431,5241,75,321,25,107,428,1,2,1,0.9177637855
JAMAICA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88500ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,2,2,12.5,32,256,43.75,14,56.25,18,32,0,0,1,0.875
JAPON,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88505ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,4,4,14.01,112,799,70.53,79,29.46,33,112,0,0,1,0.859824781
KENIA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88515ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,1,1,26.31,15,57,86.66,13,13.33,2,15,0,0,1,0.7368421053
LIBANO,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88535ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,2,2,6.22,46,739,73.91,34,26.08,12,46,0,0,1,0.9377537212
MALASIA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88560ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,1,1,19.04,20,105,65,13,35,7,20,0,0,1,0.8095238095
MARRUECOS,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88580ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,1,1,37.5,6,16,100,6,0,0,6,0,0,1,0.625
MEXICO,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88590ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,11,11,25.06,1079,4304,68.76,742,31.23,337,1079,0,0,1,0.749302974
NICARAGUA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88620ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,1,1,26.99,61,226,78.68,48,21.31,13,61,0,0,1,0.7300884956
